split,model_family,target,mse,rmse,mae,r2,oos_r2,information_coefficient,directional_hit_rate,n_predictions,first_prediction_date,last_prediction_date,newey_west_tstat
6,price_only_elastic_net,next_5d_return,0.0003577595938932898,0.018914533932753667,0.015076452457595242,-0.003378074425927302,0.0,,0.5818181818181818,110.0,2026-01-02,2026-06-10,-1.6536655267478213
0,realized_vol_only_baseline_mean,next_5d_return,0.0013365969397500625,0.036559498625529076,0.020791095775082986,-0.004216682625856505,0.0,,0.6403162055335968,253.0,2019-04-04,2020-04-03,
0,realized_vol_only_linear,next_5d_return,0.0012427027876745762,0.035251989839930685,0.02078008998305081,0.06632819976243054,0.070248666058628,0.05716553217409089,0.5217391304347826,253.0,2019-04-04,2020-04-03,1.8720756493683697
0,realized_vol_only_ridge,next_5d_return,0.0014465905256916731,0.038034070590612215,0.02126951032296858,-0.08685744791524974,-0.0822937586271737,0.08086612691200162,0.6403162055335968,253.0,2019-04-04,2020-04-03,1.8720756493683697
0,realized_vol_only_elastic_net,next_5d_return,0.0013365969397500625,0.036559498625529076,0.020791095775082986,-0.004216682625856505,0.0,,0.6403162055335968,253.0,2019-04-04,2020-04-03,1.8720756493683697
1,realized_vol_only_baseline_mean,next_5d_return,0.0006147709776606547,0.02479457556927835,0.019962576704330957,-0.08341912429549025,0.0,,0.652,250.0,2020-04-06,2021-04-01,
1,realized_vol_only_linear,next_5d_return,0.022034179974748155,0.1484391456952921,0.0788111577529475,-37.831130356299994,-34.84128199836838,0.12945576729227667,0.572,250.0,2020-04-06,2021-04-01,-0.5039007725681895
1,realized_vol_only_ridge,next_5d_return,0.000632295821572949,0.02514549306680919,0.01953436195097002,-0.11430339133932832,-0.028506296733428194,0.0874316709067345,0.636,250.0,2020-04-06,2021-04-01,-0.5039007725681895
1,realized_vol_only_elastic_net,next_5d_return,0.0006147709776606547,0.02479457556927835,0.019962576704330957,-0.08341912429549025,0.0,,0.652,250.0,2020-04-06,2021-04-01,-0.5039007725681895
2,realized_vol_only_baseline_mean,next_5d_return,0.0003959577562359464,0.01989868729931566,0.014754031155082017,-0.0005310731155567794,0.0,,0.6126482213438735,253.0,2021-04-05,2022-04-01,
2,realized_vol_only_linear,next_5d_return,0.0003952386383016216,0.01988060960588537,0.014883420356394637,0.001286039511220416,0.0018161481193370577,0.03562869858658972,0.5968379446640316,253.0,2021-04-05,2022-04-01,-0.29887020124350555
2,realized_vol_only_ridge,next_5d_return,0.0003952453630466428,0.019880778733405862,0.014831655401389617,0.0012690470006645471,0.0017991646282567997,0.03724707336484125,0.6126482213438735,253.0,2021-04-05,2022-04-01,-0.29887020124350555
2,realized_vol_only_elastic_net,next_5d_return,0.0003959577562359464,0.01989868729931566,0.014754031155082017,-0.0005310731155567794,0.0,,0.6126482213438735,253.0,2021-04-05,2022-04-01,-0.29887020124350555
3,realized_vol_only_baseline_mean,next_5d_return,0.0009609379250114777,0.03099899877433911,0.024491143799799567,-0.016146099053149232,0.0,,0.5059760956175299,251.0,2022-04-04,2023-04-03,
3,realized_vol_only_linear,next_5d_return,0.0009770790606910642,0.03125826387839005,0.024592894739776078,-0.033214581447476244,-0.016797271977160966,0.12802276607854296,0.5059760956175299,251.0,2022-04-04,2023-04-03,-0.27727875871521895
3,realized_vol_only_ridge,next_5d_return,0.0009756480965184087,0.031235366117886448,0.024575220490631496,-0.03170140497261564,-0.015308139187820258,0.15479491557579206,0.5059760956175299,251.0,2022-04-04,2023-04-03,-0.27727875871521895
3,realized_vol_only_elastic_net,next_5d_return,0.0009609379250114777,0.03099899877433911,0.024491143799799567,-0.016146099053149232,0.0,,0.5059760956175299,251.0,2022-04-04,2023-04-03,-0.27727875871521895
4,realized_vol_only_baseline_mean,next_5d_return,0.0002590909881318268,0.016096303554910575,0.012455840960911898,-0.02907963876060249,0.0,,0.6693227091633466,251.0,2023-04-04,2024-04-03,
4,realized_vol_only_linear,next_5d_return,0.00026364458540317244,0.016237135997557342,0.012600483636769282,-0.047166003974792536,-0.01757528235227057,0.004664010624169986,0.6653386454183267,251.0,2023-04-04,2024-04-03,-0.34255486103428445
4,realized_vol_only_ridge,next_5d_return,0.00026257568836155675,0.01620418737121849,0.0125357896489028,-0.042920467727509015,-0.013449716081814778,0.20868905331056725,0.6693227091633466,251.0,2023-04-04,2024-04-03,-0.34255486103428445
4,realized_vol_only_elastic_net,next_5d_return,0.0002590909881318268,0.016096303554910575,0.012455840960911898,-0.02907963876060249,0.0,,0.6693227091633466,251.0,2023-04-04,2024-04-03,-0.34255486103428445
5,realized_vol_only_baseline_mean,next_5d_return,0.0005280330002385042,0.022978968650453055,0.016785449584539907,-0.00904175371937388,0.0,,0.5657370517928287,251.0,2024-04-04,2025-04-03,
5,realized_vol_only_linear,next_5d_return,0.0005287861719295668,0.02299535109385301,0.016896845522521853,-0.010481023014395685,-0.0014263723871847933,-0.10342705369000188,0.5657370517928287,251.0,2024-04-04,2025-04-03,-0.35897057698694296
5,realized_vol_only_ridge,next_5d_return,0.0005279130893548236,0.02297635935814949,0.016816197238340387,-0.008812610676601107,0.00022708975315255397,0.03461430468601783,0.5657370517928287,251.0,2024-04-04,2025-04-03,-0.35897057698694296
5,realized_vol_only_elastic_net,next_5d_return,0.0005280330002385042,0.022978968650453055,0.016785449584539907,-0.00904175371937388,0.0,,0.5657370517928287,251.0,2024-04-04,2025-04-03,-0.35897057698694296
6,realized_vol_only_baseline_mean,next_5d_return,0.0003678698249047736,0.019179932870184234,0.014234676511597887,-0.029184026010308006,0.0,,0.632,250.0,2025-04-04,2026-04-02,
6,realized_vol_only_linear,next_5d_return,0.00032819270075635886,0.018116089554767574,0.013413366034112901,0.08182008361501081,0.1078564249152143,0.2513685018960303,0.632,250.0,2025-04-04,2026-04-02,-0.3485983781551415
