strategy,total_return,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio,exposure_percentage,turnover,transaction_cost_adjusted_return,active_start_date,active_end_date
buy_hold,3.9859368902314207,0.15504238737643772,0.17228671126137832,0.8999091470335224,1.0978197079887677,-0.33717282840434837,0.4598306100469815,99.9680817108203,1.0,3.9859368902314207,2014-01-02,2026-06-17
ma_200_filter,2.2415518915883945,0.1064438343259857,0.11405681082850626,0.9332527672199489,1.0219136493661771,-0.20159109580886714,0.5280185312693939,77.49760612831153,63.0,2.2415518915883945,2014-01-02,2026-06-17
vix_pct_filter,1.7573492124299879,0.09165083470398883,0.1102023488173294,0.8316595398153316,0.9295887080155162,-0.24803495206962367,0.36950774049885654,73.63549313756783,165.0,1.7573492124299879,2014-01-02,2026-06-17
vrp_pct_filter,1.1173112484143068,0.07119231562681305,0.12952267803616277,0.54965135608867,0.5808984861543537,-0.30943737088435186,0.23007019295487824,71.17778487073093,305.0,1.1173112484143068,2014-01-02,2026-06-17
combined_filter,0.9878392905131652,0.06022179034572073,0.07992276568438053,0.7534998298674991,0.759418153653437,-0.1680010669514248,0.35846076122321907,56.11235237791254,287.0,0.9878392905131652,2014-01-02,2026-06-17
