date,y_pred,adj_close,ret_1d,overlay_signal,long_short_signal,overlay_ret,long_short_ret,buy_hold_ret,equity_overlay_ret,equity_long_short_ret,equity_buy_hold_ret,overlay_turnover,long_short_turnover,vix,VRP_21d,VRP_63d,vrp_zscore_252d,vix_pct_252d,vrp_pct_252d,dist_from_ma_200
2020-02-03,0.0040860446685983,296.20269775390625,0.0074282755247003784,1.0,1.0,0.0,0.0,0.0074282755247003784,1.0,1.0,1.0074282755247004,0.0,0.0,17.97,0.017784877249458562,0.024382264185597014,0.9345817919985342,0.8908730158730159,0.8849206349206349,0.08490058720797444
2020-02-04,0.0013994407571738,300.7173156738281,0.015241650242067584,1.0,1.0,0.015041650242067583,0.015041650242067583,0.015241650242067584,1.0150416502420676,1.0150416502420676,1.022783144944217,1.0,1.0,16.05,0.009344802939640594,0.017322525097826225,0.07060625841963775,0.7400793650793651,0.4246031746031746,0.10064094045552707
2020-02-05,0.0023726916295283,304.1898803710937,0.011547604731322103,1.0,1.0,0.011547604731322103,0.011547604731322103,0.011547604731322103,1.0267629500048918,1.0267629500048918,1.0345938404278914,0.0,0.0,15.15,0.005281846955302174,0.014121998798710107,-0.3416872391184955,0.6031746031746031,0.27380952380952384,0.11248129910201587
2020-02-06,0.0036298747727047,305.2135009765625,0.0033650711990156346,1.0,1.0,0.0033650711990156346,0.0033650711990156346,0.0033650711990156346,1.0302180804361696,1.0302180804361696,1.0380753223629942,0.0,0.0,14.96,0.00489847876441404,0.013559033956049373,-0.37831229772746694,0.5873015873015873,0.25396825396825395,0.11538096033615419
2020-02-07,0.0017650330183746,303.5867919921875,-0.005329741243982222,1.0,1.0,-0.005329741243982222,-0.005329741243982222,-0.005329741243982222,1.0247272846425728,1.0247272846425728,1.0325426495030359,0.0,0.0,15.47,0.006076484882816369,0.014933084121692735,-0.2554338376675093,0.6587301587301587,0.29365079365079366,0.10861919068536907
2020-02-10,0.0005666516633864,305.85321044921875,0.007465471215525099,1.0,1.0,0.007465471215525099,0.007465471215525099,0.007465471215525099,1.032377356689835,1.032377356689835,1.0402510669317029,0.0,0.0,15.04,0.004662429599067697,0.013489680317714992,-0.39731021051800863,0.5992063492063492,0.25,0.11602413994592942
2020-02-11,-4.278445516973928e-06,306.3833312988281,0.0017332525260427278,0.0,-1.0,0.0017332525260427278,0.0017332525260427278,0.0017332525260427278,1.034166727351147,1.034166727351147,1.042054084721181,0.0,0.0,15.18,0.005299613240230733,0.013917021155082816,-0.3297664421356903,0.623015873015873,0.2857142857142857,0.11710108071954783
2020-02-12,0.0021294135543849,308.35723876953125,0.006442607247382881,1.0,1.0,-0.0002,-0.006842607247382881,0.006442607247382881,1.033959894005677,1.0270903306075718,1.0487676299195705,1.0,2.0,13.74,0.0011925535752973504,0.00969744434535147,-0.7452657456551683,0.38492063492063494,0.1626984126984127,0.1234045968589279
2020-02-13,0.0010351491397652,308.0283203125,-0.001066679862434139,1.0,1.0,-0.001266679862434139,-0.0014666798624341389,-0.001066679862434139,1.0326501978293754,1.0255839179027688,1.0476489306083625,1.0,2.0,14.15,0.0023668239451540563,0.010816083242416246,-0.6219358597927683,0.4642857142857143,0.18253968253968253,0.12132459892165981
2020-02-14,0.0012273823350429,308.521728515625,0.0016018273989366616,1.0,1.0,0.0016018273989366616,0.0016018273989366616,0.0016018273989366616,1.0343043252097759,1.0272267263223742,1.0493270833698776,0.0,0.0,13.68,0.0010682016342204552,0.009513321632846803,-0.7490318980229371,0.37103174603174605,0.1626984126984127,0.12218835280376283
2020-02-18,-0.0018739605082793,307.7266845703125,-0.002576946360107746,0.0,-1.0,-0.002576946360107746,-0.002576946360107746,-0.002576946360107746,1.0316389784436828,1.0245796181489724,1.046623023761825,0.0,0.0,14.83,0.004829867136478684,0.012726089890532831,-0.36480183328316507,0.5753968253968254,0.2698412698412698,0.1183726894940813
2020-02-19,-0.0008493175337817,309.1980285644531,0.004781333787140074,0.0,-1.0,-0.0002,-0.005181333787140074,0.004781333787140074,1.031432650647994,1.0192709291558422,1.0516272777877362,1.0,2.0,14.38,0.0033868071595567865,0.011502822189862701,-0.5096339877646434,0.49206349206349204,0.21428571428571427,0.12281561732585744
