vrp_decile,return
0,0.9505190685452003
1,0.47825298786301307
2,0.2988316379883764
3,0.262938171068136
4,0.16307865017887724
5,0.1012840777954831
6,0.2619548938645939
7,-0.11583026357729986
8,-0.30683293863009176
9,-0.5938377641371921
